Year,Month,Rainfall,SAIDI,SAIFI
2019,1,34.16,273.07,4.1
2019,2,124.42,508.54,6.3
2019,3,48.99,277.16,3.93
2019,4,174.16,253.97,3.22
2019,5,88.13,182.55,1.44
2019,6,151.88,209.58,1.7
2019,7,114.37,326.55,2.81
2019,8,236.01,280.01,2.46
2019,9,316.92,160.62,2.19
2019,10,459.36,312.25,2.57
2019,11,321.8,502.21,2.53
2019,12,308.98,139.14,1.43
2020,1,57.05,273.07,4.1
2020,2,22.97,508.54,6.3
2020,3,34.24,277.16,3.93
2020,4,165.58,253.97,3.22
2020,5,261.67,182.55,1.44
2020,6,137.45,209.58,1.7
2020,7,156.34,326.55,2.81
2020,8,117.23,280.01,2.46
2020,9,296.04,160.62,2.19
2020,10,107.95,312.25,2.57
2020,11,288.99,502.21,2.53
2020,12,280.42,139.14,1.43
2021,1,236.54,273.07,4.1
2021,2,61.57,508.54,6.3
2021,3,164.36,277.16,3.93
2021,4,180.53,253.97,3.22
2021,5,391.3,182.55,1.44
2021,6,211.71,209.58,1.7
2021,7,184.37,326.55,2.81
2021,8,173.39,280.01,2.46
2021,9,216.33,160.62,2.19
2021,10,385.49,312.25,2.57
2021,11,483.91,502.21,2.53
2021,12,153.4,139.14,1.43
2022,1,97.13,273.07,4.1
2022,2,89.24,508.54,6.3
2022,3,94.91,277.16,3.93
2022,4,294.88,253.97,3.22
2022,5,313.78,182.55,1.44
2022,6,94.51,209.58,1.7
2022,7,160.74,326.55,2.81
2022,8,217.21,280.01,2.46
2022,9,112.4,160.62,2.19
2022,10,392.83,312.25,2.57
2022,11,254.27,502.21,2.53
2022,12,240.04,139.14,1.43
2023,1,209.85,273.07,4.1
2023,2,135.19,508.54,6.3
2023,3,150.07,277.16,3.93
2023,4,195.94,253.97,3.22
2023,5,224.84,182.55,1.44
2023,6,163.85,209.58,1.7
2023,7,98.95,326.55,2.81
2023,8,72.56,280.01,2.46
2023,9,371.37,160.62,2.19
2023,10,486.35,312.25,2.57
2023,11,514.48,502.21,2.53
2023,12,424.11,139.14,1.43
2024,1,244.52,273.07,4.1
2024,2,69.03,508.54,6.3
2024,3,55.38,277.16,3.93
2024,4,84.69,253.97,3.22
2024,5,382.6,182.55,1.44
2024,6,108.01,209.58,1.7
2024,7,106.79,326.55,2.81
2024,8,141.72,280.01,2.46
2024,9,131.73,160.62,2.19
2024,10,214.58,312.25,2.57
2024,11,614.98,502.21,2.53
2024,12,211.45,139.14,1.43
