Scope,Metric,N,Slope,Intercept,R2,RMSE
Overall,SAIDI,12,0.2001951832695183,246.00753942370903,0.07412764609408984,108.91190940022726
Overall,SAIFI,12,-0.002908232452987707,3.4632826843054025,0.11536794786672655,1.2396644937636905
Month January,SAIDI,1,,,,
Month January,SAIFI,1,,,,
Month February,SAIDI,1,,,,
Month February,SAIFI,1,,,,
Month March,SAIDI,1,,,,
Month March,SAIFI,1,,,,
Month April,SAIDI,1,,,,
Month April,SAIFI,1,,,,
Month May,SAIDI,1,,,,
Month May,SAIFI,1,,,,
Month June,SAIDI,1,,,,
Month June,SAIFI,1,,,,
Month July,SAIDI,1,,,,
Month July,SAIFI,1,,,,
Month August,SAIDI,1,,,,
Month August,SAIFI,1,,,,
Month September,SAIDI,1,,,,
Month September,SAIFI,1,,,,
Month October,SAIDI,1,,,,
Month October,SAIFI,1,,,,
Month November,SAIDI,1,,,,
Month November,SAIFI,1,,,,
Month December,SAIDI,1,,,,
Month December,SAIFI,1,,,,
